21,15,805,33,31,18,84,30,20,10,0.512,2.58,2.72,1.01,23.4,77.1,29.4,30.3,0.688,0.22,0.731,0.864,0.475,0.341,51.1,50,22,10,110,43,25,18,0.671,2.61,2.24,1.18,16.5,83.7,28.5,30.1,0.821,0.419,0.714,0.865,0.611,0.585,52.1
19,26,804,53,22,7,113,49,23,26,0.689,3.02,2.28,1.32,16.8,84.3,31.5,29.5,0.82,0.375,0.853,0.973,0.625,0.656,46.7,30,44,8,68,25,19,6,0.415,2.51,3.13,0.8,15.9,80.4,29.2,33.5,0.677,0.176,0.762,0.826,0.375,0.382,49
14,29,803,46,28,8,100,42,20,22,0.61,2.77,2.42,1.14,15.8,86.3,30.8,27.6,0.778,0.297,0.844,0.875,0.519,0.667,49.9,43,26,13,99,36,20,16,0.604,2.72,2.49,1.15,17.8,81.8,29.7,28.7,0.653,0.333,0.676,0.789,0.543,0.5,48.9
25,16,802,50,24,8,108,47,30,17,0.659,3.16,2.51,1.28,18.8,83.7,29.6,27.9,0.761,0.417,0.833,0.943,0.622,0.606,49.7,47,25,10,104,41,24,17,0.634,2.76,2.46,1.26,16.2,80.8,31.9,28.3,0.711,0.455,0.741,0.771,0.63,0.529,48.9
1,24,801,24,50,8,56,19,9,10,0.341,2.01,3.26,0.62,20,76.7,29.2,33.2,0.424,0.204,0.522,0.824,0.385,0.259,51.8,51,24,7,109,42,23,19,0.665,2.92,2.4,1.18,22.3,83.7,30.9,27.2,0.783,0.417,0.808,0.842,0.66,0.556,53.4
11,18,800,24,44,14,62,19,13,6,0.378,2.35,3.37,0.68,17.7,76.7,28.4,30,0.471,0.167,0.435,0.63,0.333,0.273,48.2,47,28,7,101,40,22,18,0.616,2.99,2.73,1.08,18.7,78,33.8,28.3,0.592,0.545,0.667,0.781,0.607,0.476,49.2
20,3,799,43,26,13,99,37,21,16,0.604,2.83,2.54,1.09,16.8,82.9,31,32.1,0.587,0.444,0.696,0.821,0.533,0.522,48.2,23,51,8,54,15,10,5,0.329,1.87,3.28,0.61,13.4,75.1,24.2,35.6,0.528,0.087,0.563,0.647,0.5,0.246,44.9
9,2,798,41,31,10,92,37,17,20,0.561,3.13,3.13,0.98,19,80.7,31.2,29.9,0.644,0.324,0.75,0.763,0.357,0.611,51.8,41,27,14,96,37,22,15,0.585,2.55,2.45,1.04,17.8,82,31,29.9,0.674,0.308,0.742,0.871,0.512,0.471,53.6
4,23,797,45,30,7,97,41,21,20,0.591,2.89,2.6,1.04,18.8,80.6,27.5,29.2,0.694,0.435,0.889,0.923,0.455,0.591,47.4,40,33,9,89,36,18,18,0.543,2.73,2.76,0.91,21.6,78.5,31.6,29.7,0.707,0.268,0.786,0.8,0.5,0.5,51.9
1,6,796,24,50,8,56,19,9,10,0.341,2.01,3.26,0.62,20,76.7,29.2,33.2,0.424,0.204,0.522,0.824,0.385,0.259,51.8,48,28,6,102,39,19,20,0.622,2.68,2.27,1.19,17.6,83.4,33.9,30.2,0.761,0.361,0.897,1,0.596,0.586,52
27,14,795,48,29,5,101,42,21,21,0.616,2.88,2.68,0.96,19.3,85.7,29.9,29.8,0.771,0.447,0.773,0.882,0.65,0.524,46.7,46,28,8,100,42,20,22,0.61,2.77,2.42,1.14,15.8,86.3,30.8,27.6,0.778,0.297,0.844,0.875,0.519,0.667,49.9
13,8,794,40,27,15,95,38,23,15,0.579,2.66,2.4,1.18,19,80.9,30.9,27,0.659,0.317,0.724,0.771,0.545,0.435,51.3,42,35,5,89,33,15,18,0.543,2.77,3.02,0.88,21.7,80.2,28.9,33.4,0.73,0.333,0.815,0.833,0.417,0.558,49.3
11,17,793,24,44,14,62,19,13,6,0.378,2.35,3.37,0.68,17.7,76.7,28.4,30,0.471,0.167,0.435,0.63,0.333,0.273,48.2,32,36,14,78,27,14,13,0.476,2.15,2.55,0.93,19.3,80.6,24.5,30.7,0.533,0.216,0.593,0.781,0.235,0.438,47.3
15,2,792,50,22,10,110,43,25,18,0.671,2.61,2.24,1.18,16.5,83.7,28.5,30.1,0.821,0.419,0.714,0.865,0.611,0.585,52.1,41,27,14,96,37,22,15,0.585,2.55,2.45,1.04,17.8,82,31,29.9,0.674,0.308,0.742,0.871,0.512,0.471,53.6
7,29,791,39,31,12,90,29,17,12,0.549,2.55,2.72,0.99,15,84.6,27.9,33.2,0.676,0.311,0.696,0.852,0.6,0.418,50.8,43,26,13,99,36,20,16,0.604,2.72,2.49,1.15,17.8,81.8,29.7,28.7,0.653,0.333,0.676,0.789,0.543,0.5,48.9
9,19,790,41,31,10,92,37,17,20,0.561,3.13,3.13,0.98,19,80.7,31.2,29.9,0.644,0.324,0.75,0.763,0.357,0.611,51.8,53,22,7,113,49,23,26,0.689,3.02,2.28,1.32,16.8,84.3,31.5,29.5,0.82,0.375,0.853,0.973,0.625,0.656,46.7
0,25,789,51,24,7,109,43,21,22,0.665,2.78,2.7,1.04,15.7,81,30,28.9,0.766,0.429,0.813,0.938,0.59,0.643,51.6,50,24,8,108,47,30,17,0.659,3.16,2.51,1.28,18.8,83.7,29.6,27.9,0.761,0.417,0.833,0.943,0.622,0.606,49.7
18,3,788,47,28,7,101,40,22,18,0.616,2.99,2.73,1.08,18.7,78,33.8,28.3,0.592,0.545,0.667,0.781,0.607,0.476,49.2,23,51,8,54,15,10,5,0.329,1.87,3.28,0.61,13.4,75.1,24.2,35.6,0.528,0.087,0.563,0.647,0.5,0.246,44.9
21,28,787,33,31,18,84,30,20,10,0.512,2.58,2.72,1.01,23.4,77.1,29.4,30.3,0.688,0.22,0.731,0.864,0.475,0.341,51.1,45,26,11,101,40,20,20,0.616,2.89,2.43,1.08,25.3,81.2,29.5,28.9,0.86,0.205,0.867,0.875,0.526,0.486,51.2
16,12,786,47,25,10,104,41,24,17,0.634,2.76,2.46,1.26,16.2,80.8,31.9,28.3,0.711,0.455,0.741,0.771,0.63,0.529,48.9,38,29,15,91,30,17,13,0.555,2.42,2.6,1.03,16.3,80,30.7,29.6,0.697,0.306,0.789,0.75,0.386,0.541,48.6
6,24,785,48,28,6,102,39,19,20,0.622,2.68,2.27,1.19,17.6,83.4,33.9,30.2,0.761,0.361,0.897,1,0.596,0.586,52,51,24,7,109,42,23,19,0.665,2.92,2.4,1.18,22.3,83.7,30.9,27.2,0.783,0.417,0.808,0.842,0.66,0.556,53.4
5,23,784,30,41,11,71,25,15,10,0.433,2.23,2.67,0.76,18.8,84.7,30.8,27.3,0.611,0.174,0.708,0.759,0.423,0.25,53,40,33,9,89,36,18,18,0.543,2.73,2.76,0.91,21.6,78.5,31.6,29.7,0.707,0.268,0.786,0.8,0.5,0.5,51.9
22,27,783,43,27,12,98,39,21,18,0.598,2.65,2.49,1.09,19.3,84.8,31.6,29.3,0.673,0.303,0.735,0.882,0.587,0.485,49.1,48,29,5,101,42,21,21,0.616,2.88,2.68,0.96,19.3,85.7,29.9,29.8,0.771,0.447,0.773,0.882,0.65,0.524,46.7
7,14,782,39,31,12,90,29,17,12,0.549,2.55,2.72,0.99,15,84.6,27.9,33.2,0.676,0.311,0.696,0.852,0.6,0.418,50.8,46,28,8,100,42,20,22,0.61,2.77,2.42,1.14,15.8,86.3,30.8,27.6,0.778,0.297,0.844,0.875,0.519,0.667,49.9
8,20,781,42,35,5,89,33,15,18,0.543,2.77,3.02,0.88,21.7,80.2,28.9,33.4,0.73,0.333,0.815,0.833,0.417,0.558,49.3,43,26,13,99,37,21,16,0.604,2.83,2.54,1.09,16.8,82.9,31,32.1,0.587,0.444,0.696,0.821,0.533,0.522,48.2
17,15,780,32,36,14,78,27,14,13,0.476,2.15,2.55,0.93,19.3,80.6,24.5,30.7,0.533,0.216,0.593,0.781,0.235,0.438,47.3,50,22,10,110,43,25,18,0.671,2.61,2.24,1.18,16.5,83.7,28.5,30.1,0.821,0.419,0.714,0.865,0.611,0.585,52.1
11,26,779,24,44,14,62,19,13,6,0.378,2.35,3.37,0.68,17.7,76.7,28.4,30,0.471,0.167,0.435,0.63,0.333,0.273,48.2,30,44,8,68,25,19,6,0.415,2.51,3.13,0.8,15.9,80.4,29.2,33.5,0.677,0.176,0.762,0.826,0.375,0.382,49
9,3,778,41,31,10,92,37,17,20,0.561,3.13,3.13,0.98,19,80.7,31.2,29.9,0.644,0.324,0.75,0.763,0.357,0.611,51.8,23,51,8,54,15,10,5,0.329,1.87,3.28,0.61,13.4,75.1,24.2,35.6,0.528,0.087,0.563,0.647,0.5,0.246,44.9
18,2,777,47,28,7,101,40,22,18,0.616,2.99,2.73,1.08,18.7,78,33.8,28.3,0.592,0.545,0.667,0.781,0.607,0.476,49.2,41,27,14,96,37,22,15,0.585,2.55,2.45,1.04,17.8,82,31,29.9,0.674,0.308,0.742,0.871,0.512,0.471,53.6
10,1,776,43,25,14,100,39,21,18,0.61,2.82,2.57,1.05,23.8,80.9,29.6,28.3,0.595,0.45,0.882,0.839,0.523,0.528,51.5,24,50,8,56,19,9,10,0.341,2.01,3.26,0.62,20,76.7,29.2,33.2,0.424,0.204,0.522,0.824,0.385,0.259,51.8
13,25,775,40,27,15,95,38,23,15,0.579,2.66,2.4,1.18,19,80.9,30.9,27,0.659,0.317,0.724,0.771,0.545,0.435,51.3,50,24,8,108,47,30,17,0.659,3.16,2.51,1.28,18.8,83.7,29.6,27.9,0.761,0.417,0.833,0.943,0.622,0.606,49.7
19,16,774,53,22,7,113,49,23,26,0.689,3.02,2.28,1.32,16.8,84.3,31.5,29.5,0.82,0.375,0.853,0.973,0.625,0.656,46.7,47,25,10,104,41,24,17,0.634,2.76,2.46,1.26,16.2,80.8,31.9,28.3,0.711,0.455,0.741,0.771,0.63,0.529,48.9
22,4,773,43,27,12,98,39,21,18,0.598,2.65,2.49,1.09,19.3,84.8,31.6,29.3,0.673,0.303,0.735,0.882,0.587,0.485,49.1,45,30,7,97,41,21,20,0.591,2.89,2.6,1.04,18.8,80.6,27.5,29.2,0.694,0.435,0.889,0.923,0.455,0.591,47.4
6,29,772,48,28,6,102,39,19,20,0.622,2.68,2.27,1.19,17.6,83.4,33.9,30.2,0.761,0.361,0.897,1,0.596,0.586,52,43,26,13,99,36,20,16,0.604,2.72,2.49,1.15,17.8,81.8,29.7,28.7,0.653,0.333,0.676,0.789,0.543,0.5,48.9
24,8,771,51,24,7,109,42,23,19,0.665,2.92,2.4,1.18,22.3,83.7,30.9,27.2,0.783,0.417,0.808,0.842,0.66,0.556,53.4,42,35,5,89,33,15,18,0.543,2.77,3.02,0.88,21.7,80.2,28.9,33.4,0.73,0.333,0.815,0.833,0.417,0.558,49.3
0,28,770,51,24,7,109,43,21,22,0.665,2.78,2.7,1.04,15.7,81,30,28.9,0.766,0.429,0.813,0.938,0.59,0.643,51.6,45,26,11,101,40,20,20,0.616,2.89,2.43,1.08,25.3,81.2,29.5,28.9,0.86,0.205,0.867,0.875,0.526,0.486,51.2
26,17,769,30,44,8,68,25,19,6,0.415,2.51,3.13,0.8,15.9,80.4,29.2,33.5,0.677,0.176,0.762,0.826,0.375,0.382,49,32,36,14,78,27,14,13,0.476,2.15,2.55,0.93,19.3,80.6,24.5,30.7,0.533,0.216,0.593,0.781,0.235,0.438,47.3
25,9,768,50,24,8,108,47,30,17,0.659,3.16,2.51,1.28,18.8,83.7,29.6,27.9,0.761,0.417,0.833,0.943,0.622,0.606,49.7,41,31,10,92,37,17,20,0.561,3.13,3.13,0.98,19,80.7,31.2,29.9,0.644,0.324,0.75,0.763,0.357,0.611,51.8
13,12,767,40,27,15,95,38,23,15,0.579,2.66,2.4,1.18,19,80.9,30.9,27,0.659,0.317,0.724,0.771,0.545,0.435,51.3,38,29,15,91,30,17,13,0.555,2.42,2.6,1.03,16.3,80,30.7,29.6,0.697,0.306,0.789,0.75,0.386,0.541,48.6
28,20,766,45,26,11,101,40,20,20,0.616,2.89,2.43,1.08,25.3,81.2,29.5,28.9,0.86,0.205,0.867,0.875,0.526,0.486,51.2,43,26,13,99,37,21,16,0.604,2.83,2.54,1.09,16.8,82.9,31,32.1,0.587,0.444,0.696,0.821,0.533,0.522,48.2
23,27,765,40,33,9,89,36,18,18,0.543,2.73,2.76,0.91,21.6,78.5,31.6,29.7,0.707,0.268,0.786,0.8,0.5,0.5,51.9,48,29,5,101,42,21,21,0.616,2.88,2.68,0.96,19.3,85.7,29.9,29.8,0.771,0.447,0.773,0.882,0.65,0.524,46.7
5,1,764,30,41,11,71,25,15,10,0.433,2.23,2.67,0.76,18.8,84.7,30.8,27.3,0.611,0.174,0.708,0.759,0.423,0.25,53,24,50,8,56,19,9,10,0.341,2.01,3.26,0.62,20,76.7,29.2,33.2,0.424,0.204,0.522,0.824,0.385,0.259,51.8
10,7,763,43,25,14,100,39,21,18,0.61,2.82,2.57,1.05,23.8,80.9,29.6,28.3,0.595,0.45,0.882,0.839,0.523,0.528,51.5,39,31,12,90,29,17,12,0.549,2.55,2.72,0.99,15,84.6,27.9,33.2,0.676,0.311,0.696,0.852,0.6,0.418,50.8
0,16,762,51,24,7,109,43,21,22,0.665,2.78,2.7,1.04,15.7,81,30,28.9,0.766,0.429,0.813,0.938,0.59,0.643,51.6,47,25,10,104,41,24,17,0.634,2.76,2.46,1.26,16.2,80.8,31.9,28.3,0.711,0.455,0.741,0.771,0.63,0.529,48.9
18,21,761,47,28,7,101,40,22,18,0.616,2.99,2.73,1.08,18.7,78,33.8,28.3,0.592,0.545,0.667,0.781,0.607,0.476,49.2,33,31,18,84,30,20,10,0.512,2.58,2.72,1.01,23.4,77.1,29.4,30.3,0.688,0.22,0.731,0.864,0.475,0.341,51.1
24,3,760,51,24,7,109,42,23,19,0.665,2.92,2.4,1.18,22.3,83.7,30.9,27.2,0.783,0.417,0.808,0.842,0.66,0.556,53.4,23,51,8,54,15,10,5,0.329,1.87,3.28,0.61,13.4,75.1,24.2,35.6,0.528,0.087,0.563,0.647,0.5,0.246,44.9
23,4,759,40,33,9,89,36,18,18,0.543,2.73,2.76,0.91,21.6,78.5,31.6,29.7,0.707,0.268,0.786,0.8,0.5,0.5,51.9,45,30,7,97,41,21,20,0.591,2.89,2.6,1.04,18.8,80.6,27.5,29.2,0.694,0.435,0.889,0.923,0.455,0.591,47.4
2,19,758,41,27,14,96,37,22,15,0.585,2.55,2.45,1.04,17.8,82,31,29.9,0.674,0.308,0.742,0.871,0.512,0.471,53.6,53,22,7,113,49,23,26,0.689,3.02,2.28,1.32,16.8,84.3,31.5,29.5,0.82,0.375,0.853,0.973,0.625,0.656,46.7
22,11,757,43,27,12,98,39,21,18,0.598,2.65,2.49,1.09,19.3,84.8,31.6,29.3,0.673,0.303,0.735,0.882,0.587,0.485,49.1,24,44,14,62,19,13,6,0.378,2.35,3.37,0.68,17.7,76.7,28.4,30,0.471,0.167,0.435,0.63,0.333,0.273,48.2
7,9,756,39,31,12,90,29,17,12,0.549,2.55,2.72,0.99,15,84.6,27.9,33.2,0.676,0.311,0.696,0.852,0.6,0.418,50.8,41,31,10,92,37,17,20,0.561,3.13,3.13,0.98,19,80.7,31.2,29.9,0.644,0.324,0.75,0.763,0.357,0.611,51.8
3,15,755,23,51,8,54,15,10,5,0.329,1.87,3.28,0.61,13.4,75.1,24.2,35.6,0.528,0.087,0.563,0.647,0.5,0.246,44.9,50,22,10,110,43,25,18,0.671,2.61,2.24,1.18,16.5,83.7,28.5,30.1,0.821,0.419,0.714,0.865,0.611,0.585,52.1
5,0,754,30,41,11,71,25,15,10,0.433,2.23,2.67,0.76,18.8,84.7,30.8,27.3,0.611,0.174,0.708,0.759,0.423,0.25,53,51,24,7,109,43,21,22,0.665,2.78,2.7,1.04,15.7,81,30,28.9,0.766,0.429,0.813,0.938,0.59,0.643,51.6
29,27,753,43,26,13,99,36,20,16,0.604,2.72,2.49,1.15,17.8,81.8,29.7,28.7,0.653,0.333,0.676,0.789,0.543,0.5,48.9,48,29,5,101,42,21,21,0.616,2.88,2.68,0.96,19.3,85.7,29.9,29.8,0.771,0.447,0.773,0.882,0.65,0.524,46.7
6,14,752,48,28,6,102,39,19,20,0.622,2.68,2.27,1.19,17.6,83.4,33.9,30.2,0.761,0.361,0.897,1,0.596,0.586,52,46,28,8,100,42,20,22,0.61,2.77,2.42,1.14,15.8,86.3,30.8,27.6,0.778,0.297,0.844,0.875,0.519,0.667,49.9
26,16,751,30,44,8,68,25,19,6,0.415,2.51,3.13,0.8,15.9,80.4,29.2,33.5,0.677,0.176,0.762,0.826,0.375,0.382,49,47,25,10,104,41,24,17,0.634,2.76,2.46,1.26,16.2,80.8,31.9,28.3,0.711,0.455,0.741,0.771,0.63,0.529,48.9
25,24,750,50,24,8,108,47,30,17,0.659,3.16,2.51,1.28,18.8,83.7,29.6,27.9,0.761,0.417,0.833,0.943,0.622,0.606,49.7,51,24,7,109,42,23,19,0.665,2.92,2.4,1.18,22.3,83.7,30.9,27.2,0.783,0.417,0.808,0.842,0.66,0.556,53.4
1,8,749,24,50,8,56,19,9,10,0.341,2.01,3.26,0.62,20,76.7,29.2,33.2,0.424,0.204,0.522,0.824,0.385,0.259,51.8,42,35,5,89,33,15,18,0.543,2.77,3.02,0.88,21.7,80.2,28.9,33.4,0.73,0.333,0.815,0.833,0.417,0.558,49.3
13,28,748,40,27,15,95,38,23,15,0.579,2.66,2.4,1.18,19,80.9,30.9,27,0.659,0.317,0.724,0.771,0.545,0.435,51.3,45,26,11,101,40,20,20,0.616,2.89,2.43,1.08,25.3,81.2,29.5,28.9,0.86,0.205,0.867,0.875,0.526,0.486,51.2
12,18,747,38,29,15,91,30,17,13,0.555,2.42,2.6,1.03,16.3,80,30.7,29.6,0.697,0.306,0.789,0.75,0.386,0.541,48.6,47,28,7,101,40,22,18,0.616,2.99,2.73,1.08,18.7,78,33.8,28.3,0.592,0.545,0.667,0.781,0.607,0.476,49.2
20,17,746,43,26,13,99,37,21,16,0.604,2.83,2.54,1.09,16.8,82.9,31,32.1,0.587,0.444,0.696,0.821,0.533,0.522,48.2,32,36,14,78,27,14,13,0.476,2.15,2.55,0.93,19.3,80.6,24.5,30.7,0.533,0.216,0.593,0.781,0.235,0.438,47.3
11,23,745,24,44,14,62,19,13,6,0.378,2.35,3.37,0.68,17.7,76.7,28.4,30,0.471,0.167,0.435,0.63,0.333,0.273,48.2,40,33,9,89,36,18,18,0.543,2.73,2.76,0.91,21.6,78.5,31.6,29.7,0.707,0.268,0.786,0.8,0.5,0.5,51.9
29,4,744,43,26,13,99,36,20,16,0.604,2.72,2.49,1.15,17.8,81.8,29.7,28.7,0.653,0.333,0.676,0.789,0.543,0.5,48.9,45,30,7,97,41,21,20,0.591,2.89,2.6,1.04,18.8,80.6,27.5,29.2,0.694,0.435,0.889,0.923,0.455,0.591,47.4
12,19,743,38,29,15,91,30,17,13,0.555,2.42,2.6,1.03,16.3,80,30.7,29.6,0.697,0.306,0.789,0.75,0.386,0.541,48.6,53,22,7,113,49,23,26,0.689,3.02,2.28,1.32,16.8,84.3,31.5,29.5,0.82,0.375,0.853,0.973,0.625,0.656,46.7
16,22,742,47,25,10,104,41,24,17,0.634,2.76,2.46,1.26,16.2,80.8,31.9,28.3,0.711,0.455,0.741,0.771,0.63,0.529,48.9,43,27,12,98,39,21,18,0.598,2.65,2.49,1.09,19.3,84.8,31.6,29.3,0.673,0.303,0.735,0.882,0.587,0.485,49.1
24,28,741,51,24,7,109,42,23,19,0.665,2.92,2.4,1.18,22.3,83.7,30.9,27.2,0.783,0.417,0.808,0.842,0.66,0.556,53.4,45,26,11,101,40,20,20,0.616,2.89,2.43,1.08,25.3,81.2,29.5,28.9,0.86,0.205,0.867,0.875,0.526,0.486,51.2
1,15,740,24,50,8,56,19,9,10,0.341,2.01,3.26,0.62,20,76.7,29.2,33.2,0.424,0.204,0.522,0.824,0.385,0.259,51.8,50,22,10,110,43,25,18,0.671,2.61,2.24,1.18,16.5,83.7,28.5,30.1,0.821,0.419,0.714,0.865,0.611,0.585,52.1
14,27,739,46,28,8,100,42,20,22,0.61,2.77,2.42,1.14,15.8,86.3,30.8,27.6,0.778,0.297,0.844,0.875,0.519,0.667,49.9,48,29,5,101,42,21,21,0.616,2.88,2.68,0.96,19.3,85.7,29.9,29.8,0.771,0.447,0.773,0.882,0.65,0.524,46.7
11,4,738,24,44,14,62,19,13,6,0.378,2.35,3.37,0.68,17.7,76.7,28.4,30,0.471,0.167,0.435,0.63,0.333,0.273,48.2,45,30,7,97,41,21,20,0.591,2.89,2.6,1.04,18.8,80.6,27.5,29.2,0.694,0.435,0.889,0.923,0.455,0.591,47.4
6,23,737,48,28,6,102,39,19,20,0.622,2.68,2.27,1.19,17.6,83.4,33.9,30.2,0.761,0.361,0.897,1,0.596,0.586,52,40,33,9,89,36,18,18,0.543,2.73,2.76,0.91,21.6,78.5,31.6,29.7,0.707,0.268,0.786,0.8,0.5,0.5,51.9
8,25,736,42,35,5,89,33,15,18,0.543,2.77,3.02,0.88,21.7,80.2,28.9,33.4,0.73,0.333,0.815,0.833,0.417,0.558,49.3,50,24,8,108,47,30,17,0.659,3.16,2.51,1.28,18.8,83.7,29.6,27.9,0.761,0.417,0.833,0.943,0.622,0.606,49.7
26,21,735,30,44,8,68,25,19,6,0.415,2.51,3.13,0.8,15.9,80.4,29.2,33.5,0.677,0.176,0.762,0.826,0.375,0.382,49,33,31,18,84,30,20,10,0.512,2.58,2.72,1.01,23.4,77.1,29.4,30.3,0.688,0.22,0.731,0.864,0.475,0.341,51.1
5,19,734,30,41,11,71,25,15,10,0.433,2.23,2.67,0.76,18.8,84.7,30.8,27.3,0.611,0.174,0.708,0.759,0.423,0.25,53,53,22,7,113,49,23,26,0.689,3.02,2.28,1.32,16.8,84.3,31.5,29.5,0.82,0.375,0.853,0.973,0.625,0.656,46.7
12,17,733,38,29,15,91,30,17,13,0.555,2.42,2.6,1.03,16.3,80,30.7,29.6,0.697,0.306,0.789,0.75,0.386,0.541,48.6,32,36,14,78,27,14,13,0.476,2.15,2.55,0.93,19.3,80.6,24.5,30.7,0.533,0.216,0.593,0.781,0.235,0.438,47.3
13,2,732,40,27,15,95,38,23,15,0.579,2.66,2.4,1.18,19,80.9,30.9,27,0.659,0.317,0.724,0.771,0.545,0.435,51.3,41,27,14,96,37,22,15,0.585,2.55,2.45,1.04,17.8,82,31,29.9,0.674,0.308,0.742,0.871,0.512,0.471,53.6
9,29,731,41,31,10,92,37,17,20,0.561,3.13,3.13,0.98,19,80.7,31.2,29.9,0.644,0.324,0.75,0.763,0.357,0.611,51.8,43,26,13,99,36,20,16,0.604,2.72,2.49,1.15,17.8,81.8,29.7,28.7,0.653,0.333,0.676,0.789,0.543,0.5,48.9
1,20,730,24,50,8,56,19,9,10,0.341,2.01,3.26,0.62,20,76.7,29.2,33.2,0.424,0.204,0.522,0.824,0.385,0.259,51.8,43,26,13,99,37,21,16,0.604,2.83,2.54,1.09,16.8,82.9,31,32.1,0.587,0.444,0.696,0.821,0.533,0.522,48.2
18,10,729,47,28,7,101,40,22,18,0.616,2.99,2.73,1.08,18.7,78,33.8,28.3,0.592,0.545,0.667,0.781,0.607,0.476,49.2,43,25,14,100,39,21,18,0.61,2.82,2.57,1.05,23.8,80.9,29.6,28.3,0.595,0.45,0.882,0.839,0.523,0.528,51.5
28,15,728,45,26,11,101,40,20,20,0.616,2.89,2.43,1.08,25.3,81.2,29.5,28.9,0.86,0.205,0.867,0.875,0.526,0.486,51.2,50,22,10,110,43,25,18,0.671,2.61,2.24,1.18,16.5,83.7,28.5,30.1,0.821,0.419,0.714,0.865,0.611,0.585,52.1
6,0,727,48,28,6,102,39,19,20,0.622,2.68,2.27,1.19,17.6,83.4,33.9,30.2,0.761,0.361,0.897,1,0.596,0.586,52,51,24,7,109,43,21,22,0.665,2.78,2.7,1.04,15.7,81,30,28.9,0.766,0.429,0.813,0.938,0.59,0.643,51.6
3,27,726,23,51,8,54,15,10,5,0.329,1.87,3.28,0.61,13.4,75.1,24.2,35.6,0.528,0.087,0.563,0.647,0.5,0.246,44.9,48,29,5,101,42,21,21,0.616,2.88,2.68,0.96,19.3,85.7,29.9,29.8,0.771,0.447,0.773,0.882,0.65,0.524,46.7
16,7,725,47,25,10,104,41,24,17,0.634,2.76,2.46,1.26,16.2,80.8,31.9,28.3,0.711,0.455,0.741,0.771,0.63,0.529,48.9,39,31,12,90,29,17,12,0.549,2.55,2.72,0.99,15,84.6,27.9,33.2,0.676,0.311,0.696,0.852,0.6,0.418,50.8
24,5,724,51,24,7,109,42,23,19,0.665,2.92,2.4,1.18,22.3,83.7,30.9,27.2,0.783,0.417,0.808,0.842,0.66,0.556,53.4,30,41,11,71,25,15,10,0.433,2.23,2.67,0.76,18.8,84.7,30.8,27.3,0.611,0.174,0.708,0.759,0.423,0.25,53
22,17,723,43,27,12,98,39,21,18,0.598,2.65,2.49,1.09,19.3,84.8,31.6,29.3,0.673,0.303,0.735,0.882,0.587,0.485,49.1,32,36,14,78,27,14,13,0.476,2.15,2.55,0.93,19.3,80.6,24.5,30.7,0.533,0.216,0.593,0.781,0.235,0.438,47.3
3,11,722,23,51,8,54,15,10,5,0.329,1.87,3.28,0.61,13.4,75.1,24.2,35.6,0.528,0.087,0.563,0.647,0.5,0.246,44.9,24,44,14,62,19,13,6,0.378,2.35,3.37,0.68,17.7,76.7,28.4,30,0.471,0.167,0.435,0.63,0.333,0.273,48.2
8,12,721,42,35,5,89,33,15,18,0.543,2.77,3.02,0.88,21.7,80.2,28.9,33.4,0.73,0.333,0.815,0.833,0.417,0.558,49.3,38,29,15,91,30,17,13,0.555,2.42,2.6,1.03,16.3,80,30.7,29.6,0.697,0.306,0.789,0.75,0.386,0.541,48.6
10,25,720,43,25,14,100,39,21,18,0.61,2.82,2.57,1.05,23.8,80.9,29.6,28.3,0.595,0.45,0.882,0.839,0.523,0.528,51.5,50,24,8,108,47,30,17,0.659,3.16,2.51,1.28,18.8,83.7,29.6,27.9,0.761,0.417,0.833,0.943,0.622,0.606,49.7
9,20,719,41,31,10,92,37,17,20,0.561,3.13,3.13,0.98,19,80.7,31.2,29.9,0.644,0.324,0.75,0.763,0.357,0.611,51.8,43,26,13,99,37,21,16,0.604,2.83,2.54,1.09,16.8,82.9,31,32.1,0.587,0.444,0.696,0.821,0.533,0.522,48.2
1,26,718,24,50,8,56,19,9,10,0.341,2.01,3.26,0.62,20,76.7,29.2,33.2,0.424,0.204,0.522,0.824,0.385,0.259,51.8,30,44,8,68,25,19,6,0.415,2.51,3.13,0.8,15.9,80.4,29.2,33.5,0.677,0.176,0.762,0.826,0.375,0.382,49
0,23,717,51,24,7,109,43,21,22,0.665,2.78,2.7,1.04,15.7,81,30,28.9,0.766,0.429,0.813,0.938,0.59,0.643,51.6,40,33,9,89,36,18,18,0.543,2.73,2.76,0.91,21.6,78.5,31.6,29.7,0.707,0.268,0.786,0.8,0.5,0.5,51.9
14,4,716,46,28,8,100,42,20,22,0.61,2.77,2.42,1.14,15.8,86.3,30.8,27.6,0.778,0.297,0.844,0.875,0.519,0.667,49.9,45,30,7,97,41,21,20,0.591,2.89,2.6,1.04,18.8,80.6,27.5,29.2,0.694,0.435,0.889,0.923,0.455,0.591,47.4
16,24,715,47,25,10,104,41,24,17,0.634,2.76,2.46,1.26,16.2,80.8,31.9,28.3,0.711,0.455,0.741,0.771,0.63,0.529,48.9,51,24,7,109,42,23,19,0.665,2.92,2.4,1.18,22.3,83.7,30.9,27.2,0.783,0.417,0.808,0.842,0.66,0.556,53.4
29,21,714,43,26,13,99,36,20,16,0.604,2.72,2.49,1.15,17.8,81.8,29.7,28.7,0.653,0.333,0.676,0.789,0.543,0.5,48.9,33,31,18,84,30,20,10,0.512,2.58,2.72,1.01,23.4,77.1,29.4,30.3,0.688,0.22,0.731,0.864,0.475,0.341,51.1
